GROUP,CODE,NAME,year,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE,US president,party
COUNTRIES,USA,United States of America,2008,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2007,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2006,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2005,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2004,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2003,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2002,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2001,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2000,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,1999,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1998,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1997,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1996,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1995,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1994,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1993,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1992,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1991,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1990,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1989,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1988,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1987,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1986,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1985,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1984,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1983,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1982,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1981,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1980,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86.0,Jimmy Carter,Democrat
COUNTRIES,USA,United States of America,2024,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2023,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2022,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2021,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2020,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2019,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2018,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2017,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2016,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2015,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2014,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2013,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2012,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2011,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2010,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2009,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2008,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2007,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2006,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2005,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2004,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2003,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2002,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2001,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,2000,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,George W. Bush,Republican
COUNTRIES,USA,United States of America,1999,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1998,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1997,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1996,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1995,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1994,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1993,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1992,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94.0,Bill Clinton,Democrat
COUNTRIES,USA,United States of America,1991,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1990,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1989,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1988,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,George H. W. Bush,Republican
COUNTRIES,USA,United States of America,1987,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1986,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1985,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1984,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1983,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1982,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1981,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Ronald Reagan,Republican
COUNTRIES,USA,United States of America,1980,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98.0,Jimmy Carter,Democrat
